L1,19,0.020902,L1,9,0.009804,,WhiteUP,586,BlackUP,323,
L2,48,0.052805,L2,12,0.013072,,WhiteDB,761,BlackDB,157,
L3,24,0.026403,L3,21,0.022876,,,0.7700394218,,0.4860681115,0.3742916075
L4,24,0.026403,L4,8,0.008715,,,,,,
L5,30,0.033003,L5,10,0.010893,,,,,,
L6,42,0.046205,L6,18,0.019608,,,,,,
L7,21,0.023102,L7,14,0.015251,,,,,,
L8,32,0.035204,L8,16,0.017429,,,,,,
L9,63,0.069307,L9,108,0.117647,,,,,,
L10,80,0.088009,L10,20,0.021786,,,,,,
L11,33,0.036304,L11,33,0.035948,,,,,,
L12,0,0,L12,36,0.039216,,,,,,
L13,13,0.014301,L13,65,0.070806,,,,,,
L14,0,0,L14,0,0,,,,,,
L15,0,0,L15,15,0.01634,,,,,,
L16,48,0.052805,L16,16,0.017429,,,,,,
L17,0,0,L17,34,0.037037,,,,,,
L18,36,0.039604,L18,18,0.019608,,,,,,
L19,0,0,L19,0,0,,,,,,
L20,0,0,L20,0,0,,,,,,
L21,42,0.046205,L21,0,0,,,,,,
L22,0,0,L22,22,0.023965,,,,,,
L23,0,0,L23,0,0,,,,,,
L24,0,0,L24,0,0,,,,,,
L25,0,0,L25,0,0,,,,,,
L26,0,0,L26,26,0.028322,,,,,,
L27,0,0,L27,54,0.058824,,,,,,
L28,0,0,L28,56,0.061002,,,,,,
L29,0,0,L29,29,0.03159,,,,,,
L30,0,0,L30,90,0.098039,,,,,,
L31,31,0.034103,L31,31,0.033769,,,,,,
L32,0,0,L32,0,0,,,,,,
L33,0,0,L33,0,0,,,,,,
L34,0,0,L34,0,0,,,,,,
L35,0,0,L35,0,0,,,,,,
L36,0,0,L36,0,0,,,,,,
L37,0,0,L37,0,0,,,,,,
L38,0,0,L38,0,0,,,,,,
L39,0,0,L39,0,0,,,,,,
L40,0,0,L40,0,0,,,,,,
L41,10,0.011001,L41,10,0.010893,,,,,,
L42,24,0.026403,L42,2,0.002179,,,,,,
L43,48,0.052805,L43,15,0.01634,,,,,,
L44,20,0.022002,L44,16,0.017429,,,,,,
L45,30,0.033003,L45,15,0.01634,,,,,,
L46,12,0.013201,L46,6,0.006536,,,,,,
L47,21,0.023102,L47,14,0.015251,,,,,,
L48,16,0.017602,L48,32,0.034858,,,,,,
L49,18,0.019802,L49,9,0.009804,,,,,,
L50,10,0.011001,L50,10,0.010893,,,,,,
L51,22,0.024202,L51,0,0,,,,,,
L52,24,0.026403,L52,0,0,,,,,,
L53,39,0.042904,L53,13,0.014161,,,,,,
L54,14,0.015402,L54,0,0,,,,,,
L55,15,0.016502,L55,15,0.01634,,,,,,
L56,0,0,L56,0,0,,,,,,
L57,0,0,L57,0,0,,,,,,
L58,0,0,L58,0,0,,,,,,
L59,0,0,L59,0,0,,,,,,
L60,0,0,L60,0,0,,,,,,
L61,0,0,L61,0,0,,,,,,
L62,0,0,L62,0,0,,,,,,
L63,0,0,L63,0,0,,,,,,
L64,0,0,L64,0,0,,,,,,
L65,0,0,L65,0,0,,,,,,
L66,0,0,L66,0,0,,,,,,
L67,0,0,L67,0,0,,,,,,
L68,0,0,L68,0,0,,,,,,
L69,0,0,L69,0,0,,,,,,
L70,0,0,L70,0,0,,,,,,
L71,0,0,L71,0,0,,,,,,
L72,0,0,L72,0,0,,,,,,
L73,0,0,L73,0,0,,,,,,
L74,0,0,L74,0,0,,,,,,
L75,0,0,L75,0,0,,,,,,
L76,0,0,L76,0,0,,,,,,
L77,0,0,L77,0,0,,,,,,
L78,0,0,L78,0,0,,,,,,
L79,0,0,L79,0,0,,,,,,
L80,0,0,L80,0,0,,,,,,
Total,909,Total,918,,,,,,,,
0.513494,,,,,,,,,,,
